,Average,Value,Weighted,Returns,--,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Small,Small,Small,Small,Small,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,Big,Big,Big,Big,Big,,,,,,
BE/ME,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,,,,,,
193812,6.86,1.98,-0.78,-2.83,-3.02,7.43,3.8,3.56,3.52,5.8,4.23,7.16,2.49,4,5.77,4.08,4.22,5.58,5.33,12.33,3.15,4.15,2.23,6.41,12.31,,,,,,
193901,-9.75,-4.19,-8.87,-7.51,-8.52,-1.94,-9.68,-8.58,-8.31,-12.84,-7.3,-8.94,-10.41,-6.51,-11.43,-6.96,-8.4,-7.92,-7.39,-11.23,-5.8,-4.21,-3.67,-9.49,-13.75,,,,,,
193902,2.91,-1.11,1.52,3.08,5.59,0.84,3.04,3.86,4.35,7.55,3.08,6.19,4.99,5.58,7.22,5.07,5.3,3.14,3.11,4.56,2.64,3.32,3.23,7.17,8.59,,,,,,
193903,-31.51,-24.44,-23.23,-20.4,-20.31,-16.04,-20.42,-14.3,-20.79,-26.56,-17.55,-16.05,-17.85,-19.28,-23.75,-10.99,-17.26,-18.98,-18.83,-27.81,-10.73,-8.08,-11.14,-18.52,-29.94,,,,,,
193904,4.18,0.52,4.76,1.74,1.49,-1,-1.29,1.61,2.51,2.24,0.39,-0.85,-2.6,-1.73,3.74,-1.12,0.26,0.8,-1.67,1.59,-0.6,0.41,0.57,-2.85,-2.94,,,,,,
193905,8.09,8.81,5.75,8.96,6.16,8.49,11,6.73,10.13,12.95,9.71,10.74,11.43,8.48,12.73,8.64,8.29,9.6,9.23,9.76,6.89,5.94,3.38,7.07,13.24,,,,,,
193906,-11.69,-12.6,-11,-12.52,-12.01,-5.85,-7.76,-5.84,-8.78,-13.44,-7.81,-4.7,-9.34,-7.26,-10.63,-4,-6.74,-8.43,-9.36,-13.67,-4.29,-5.28,-3.76,-9.4,-16.4,,,,,,
193907,14.95,21.7,19.11,14.09,12.8,15.61,18.9,13.41,14.76,16.62,16.33,17.88,13.45,10.42,17.86,14.17,11.65,13.69,12.37,22.47,11.04,7.64,8.79,9.2,18.01,,,,,,
193908,-16.53,-21.14,-16.12,-13.92,-11.24,-14.18,-13.38,-12.49,-13.08,-13.72,-10.23,-11.65,-10.7,-8.4,-14.45,-10.26,-11.58,-11.46,-7.74,-15.06,-5.43,-4.71,-7.06,-6.49,-14.7,,,,,,
193909,59.43,51.42,68.48,52.36,89.73,54.13,44.04,35.62,38.64,55.35,28.33,25.61,32.75,29.94,50.84,15.09,24.95,15.38,29.54,47.15,11.84,12.41,13.49,31.84,56.29,,,,,,
