,Average,Value,Weighted,Returns,--,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Small,Small,Small,Small,Small,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,Big,Big,Big,Big,Big,,,,,,
BE/ME,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,,,,,,
195410,-1.71,-2.76,0.18,0.31,0.2,-3.54,-0.36,-0.18,-0.31,-3.05,1.77,-0.11,-0.61,-0.21,-2.12,-1.17,-1.07,1.52,-1.58,2.14,-2.44,-1.6,-1.98,0.36,0.47,,,,,,
195411,7.17,9.56,9.05,7.37,7.16,8.39,5.92,7.64,10.56,9.08,7.75,9.59,9.07,13.02,10.69,7.13,9.31,12.45,12.1,13.49,10.34,7.09,8.73,13.65,15.52,,,,,,
195412,16.07,9.36,8.1,12.42,12.84,7.57,10.79,9.6,8.64,11.03,4.54,7.1,8.45,10.66,12.89,4.54,4.57,5.5,8.71,14.57,3.91,4.36,8.07,9.71,15.57,,,,,,
195501,-5.17,5.94,2.66,3.73,4.64,-2.03,1.32,1.09,1.35,1.56,2.88,1.45,3.48,1.57,2.51,-0.14,1.15,1.22,0.46,0.19,-0.1,1.56,-1.73,2.93,1.84,,,,,,
195502,4.67,9.46,5.51,5.11,5.91,3.34,4.08,3.38,3.98,4.56,5.52,4.93,5.29,5.72,4.36,3.47,3.75,4.27,3.93,3.38,2.87,2.49,2.87,2.52,5.16,,,,,,
195503,-1.2,-0.68,-0.27,-0.7,0.04,-0.48,-0.01,-0.49,0.12,2.55,-3.02,-0.95,-0.77,0.92,5.66,-0.37,-0.51,-1.94,-1.83,3.29,-0.11,-0.38,-0.06,1.58,0.68,,,,,,
195504,1.9,-1.28,2.69,2.5,1.96,0.41,1.45,1.52,2.44,2.17,2.79,3.4,2.42,1.35,0.21,3.72,1.68,2.9,0.89,0.89,4.73,1.91,1.72,5.65,4.69,,,,,,
195505,-2.4,2.31,-0.33,1.33,0.2,-1.09,2.02,-0.05,-0.47,0.31,1.41,-0.35,0.65,0.69,0.76,1.27,1.6,0.87,2.43,-0.16,2.38,-0.06,0.4,-0.89,1.42,,,,,,
195506,3.81,4.68,2.1,4.82,4.33,1.47,1.7,3.47,4.02,1.95,2.54,1.25,3.42,3.96,1.31,3.39,7.09,5.77,5.68,-0.55,7.35,5.78,11.25,11.83,5.02,,,,,,
195507,9.35,4.13,0.05,2.09,0.98,-4.55,-0.18,2.56,1.01,1.8,0.69,0.1,-0.64,0.46,1,-0.03,0.88,-0.27,1.14,0.85,2.31,4.28,1.74,-1.24,0.21,,,,,,
195508,1.96,-2.17,1.25,-0.54,-0.42,1.42,1.64,-0.37,-1.74,1.04,2.64,0.99,0.95,1.07,0.5,1.62,1.16,-0.05,-0.22,-0.29,0.66,-0.56,-0.86,3.44,2.09,,,,,,
195509,1.92,-1.23,1.15,-0.9,1.78,-2.37,-2.03,-0.23,-1.38,-0.66,-1.41,-1.67,-0.7,0.58,-1.28,-1.28,-1.57,-1.03,-1.5,-2.12,0.29,-0.44,0.53,0.34,-3.68,,,,,,
195510,-4.77,-2.71,-3.76,-0.9,-0.7,-3.75,-1.18,-1.08,-1.25,-0.01,-0.97,-2.86,-0.83,0.71,-2.3,-2.06,-1.66,-1.63,-2.49,-4.15,-3.57,-1.49,-1.26,-3.59,-3.84,,,,,,
195511,-2.18,6.36,3.68,2.87,4.13,6.14,6.08,5.59,4.31,4.88,6.73,6.32,5.76,4.79,7.51,6.85,6.41,6.01,5.77,7.66,8.24,7.92,3.85,7.86,11.53,,,,,,
195512,2.3,2.92,0.77,3.1,2.59,0.76,1.63,2.27,2.07,2.09,5.3,2.23,4.38,0.63,1.74,1.95,2.43,2.53,1.2,-0.65,1.71,2.04,1.96,-0.66,-2.11,,,,,,
195601,3.36,-0.44,-0.19,-0.89,-2,-1.73,-2.11,-1.56,-2.39,-1.15,-4.64,-2.48,-4,-0.79,-3.66,-2.79,-3.21,-2.85,-3.97,-4.18,-4.56,-1.09,-0.41,-1.64,-2.94,,,,,,
195602,7.18,1.65,0.93,2.97,3.13,2.74,3.13,5.24,3.6,2.29,3.89,2.12,4.7,2.96,2.62,3.52,4.07,3.47,3.89,3.86,5.34,3.37,2.1,4.03,3.31,,,,,,
195603,0.62,3.67,1.21,5.2,6.3,0.78,4.78,4.76,3.55,6,7.74,3.69,6.35,5.66,3.63,5.66,6,7.03,3.55,3.79,6.88,10.01,5.08,5.55,8.83,,,,,,
195604,0.82,-0.5,-1.37,0.52,0.82,1.01,2,-0.65,0.45,0,-1.99,0.81,1.36,1.55,0.02,1.6,-0.03,0.89,0.54,1.54,-0.79,1.51,2.19,1.14,0.65,,,,,,
195605,-1.38,-4.51,-1.97,-3.01,-4.86,-4.43,-5.78,-4.05,-4.32,-4.31,-1.84,-3.73,-2,-4.96,-5.07,-3.16,-3.13,-5.28,-4.96,-5.22,-4.78,-5.96,-4.77,-6.7,-8.61,,,,,,
195606,-4.69,-0.57,2.82,1.05,-0.27,0.67,2.54,2.28,1.98,1.4,4.22,2.6,4.33,3.21,1.6,3.73,2.73,2.45,1.51,1.01,5.35,1.82,3.51,3.46,1.86,,,,,,
195607,0.1,2.54,0.21,3.98,2.93,1.62,3.79,2.72,4.04,4.34,3.97,3.87,4.81,4.03,3.49,4.93,5.31,3.96,5.16,3.13,4.52,7.89,5.38,4.83,3.04,,,,,,
195608,-4.76,-2.52,0.9,-1.58,-1.01,-1.58,0.48,-1.91,-1.28,-2.01,1.55,-1.2,-1.55,-1.36,-3.65,-3.08,-2.69,-1.56,-2.72,-2.79,-3.34,-4.91,-1.9,-3.07,-4.64,,,,,,
195609,-2.66,-7.69,-1.74,-2.29,-1.36,-4.31,-1.1,-3.47,-1.5,-2.17,-4.63,-4.79,-3.39,-2.7,-1.78,-4.58,-4.31,-3.46,-3.42,-2.78,-6.24,-4.65,-3.11,-5.44,-2.98,,,,,,
195610,-4.8,1.76,-0.47,0.38,1.1,-0.44,2.36,0.86,0.19,0.4,0.5,0.98,-0.28,2.1,0.55,0.02,0.53,1.37,1.3,0.65,0.7,0.87,0.68,0.95,1.72,,,,,,
195611,-5.53,1.76,-1.09,-0.39,1.25,0.37,-2.46,0.13,2.58,3.21,-0.7,1.5,1.18,0.57,1.7,1.66,0.77,-0.25,1.18,-0.72,-0.58,0.42,2.59,5.57,-2.47,,,,,,
195612,6.06,-2.93,0.84,1.29,0.98,2.77,5.31,2.01,2.16,4.63,4.37,3.22,3.49,1.28,0.24,3.32,2.28,3.26,3.35,3.7,3.47,4.86,3.78,1.47,1.99,,,,,,
195701,0.02,1.42,1.01,2.46,3.25,2.03,0.16,1.21,0.21,1.99,0.86,-0.44,-1.15,-0.03,1.42,-1.7,-0.83,-0.83,-1.89,-1.69,-4.85,-4.6,-2.12,-4.13,-0.68,,,,,,
195702,3.15,-2.44,-2.82,-2.4,-1.72,-5.49,-1.93,-3.21,-3.24,-1.17,-2.46,-2.84,-2.49,-2.68,-3.49,-0.84,-0.97,-2.4,-3.77,-2.69,-1.58,-1.35,-1.84,-3.84,-4.04,,,,,,
195703,-2.53,0.69,4.26,3.2,0.65,2.53,1.08,1.63,2.15,2.88,1.45,3.4,3.12,1.77,1.94,3.04,1.39,3.27,2.53,1.68,2.59,2.28,2.28,0.86,2.23,,,,,,
195704,0.3,0.96,2.98,2.08,3.19,2.45,-0.46,3.58,1.05,5.03,2.92,1.58,3.52,1.96,0.59,4.55,2.17,2.73,3.85,0.4,5.58,5.74,3.28,4.48,1.9,,,,,,
195705,6.83,-0.1,-1.82,0.75,0.14,3.56,3.84,1.25,0.83,3.02,3.53,1.8,3.28,1.98,1.96,3.38,2.01,0.61,1.32,3.93,5,3.42,3.05,2.1,2.84,,,,,,
195706,-2.69,1.95,-0.23,1.27,1.71,-0.12,-0.19,-0.5,-2,1.83,1.4,-1.89,-2.06,-0.11,-1.27,-1.51,-2.67,-2.14,-1.97,0.28,0.43,-1.87,-0.56,-1.93,0.31,,,,,,
195707,11.12,-2.97,-0.2,-0.07,0.25,-1.54,0.56,0.64,1.13,0.71,1.52,-0.3,-0.17,1.75,1.11,0.04,0.06,0.29,1.3,0.88,1.38,1.43,0.05,1.41,1.21,,,,,,
195708,-3.49,-2.98,-3.44,-4.53,-3.88,-4.52,-3.83,-3.77,-5.2,-6.24,-6.05,-4.11,-4.89,-5.69,-5.99,-7.48,-5.57,-4.36,-5.67,-4.33,-5.48,-4.4,-2.25,-5.55,-4.94,,,,,,
195709,-8.24,-2.14,-3.29,-4.19,-4.53,-6.61,-4.37,-3.62,-4.2,-6.87,-5.95,-7.06,-4.64,-4.98,-4.28,-4.87,-5.16,-3.16,-6.84,-7.48,-6.58,-5.52,-4.03,-5.39,-8.43,,,,,,
195710,-8.84,-9.79,-6.02,-6.4,-9.47,-6.6,-6.68,-4.9,-6.26,-9.41,-7.56,-5.67,-5.39,-6.35,-7.28,-6.12,-2.27,-3.13,-6.98,-9.37,-3.72,-3.03,-3.32,-5.61,-7.53,,,,,,
195711,2.58,-2.23,0.96,1.25,1.19,1.74,2.47,1.42,-1.35,0.63,3.78,3.08,2.35,2.44,3.7,4.25,3.8,1.87,1.6,0.11,2.93,2.78,1.85,1.54,-4.16,,,,,,
195712,-10.55,-4.96,-4.05,-5.97,-5.13,-5.67,-2.62,-1.36,-6.76,-7.42,-4.77,-2.68,-4.5,-6.98,-3.96,-3.42,-2.74,-0.64,-7.15,-5.94,-3.87,-3.82,-1.45,-7.21,-6.76,,,,,,
195801,22.94,9.76,8.58,12.14,14.61,12.48,10.75,8.96,11,13.24,8.19,8.95,9.95,12.33,11.19,7.09,8.25,7.68,13.49,13.18,2.89,4.21,5.23,7.39,11.86,,,,,,
195802,-7.98,0.68,-0.92,-1.61,-0.97,0.68,0.01,-0.34,-0.02,0.36,-0.44,-0.08,-0.64,-1,0.22,-1.12,-0.66,0.89,-1.78,-2.32,-2.1,-0.66,-0.68,-3.28,-3.29,,,,,,
195803,0.1,5.93,3.91,4.48,3.02,8.21,2.4,3.2,2.95,3.5,4.12,4.19,3.53,3.19,4.22,5.84,2.88,3.25,1.95,3.27,3.31,3,3.9,2.51,1.34,,,,,,
195804,4.07,5.78,2.96,2.92,3.8,4.96,3.93,2.97,2.36,4.63,2.98,0.74,1.83,1.1,4.79,3.83,2.95,1.91,3.37,6.62,3.13,3.25,3.09,3.01,6.28,,,,,,
195805,8.13,4.87,4.94,4.01,3.79,4.38,3.49,2.9,3.47,6.19,6.48,4.97,4.01,4.5,4.5,2.62,2.24,3.08,3.11,3.35,1.7,3.29,1.92,3.05,4.05,,,,,,
195806,2.9,1.83,1.53,3.03,3.22,0.26,5.34,2.24,2.92,3.55,3.11,1.95,3.41,1.59,3.46,3.18,2.31,2.92,3.08,5.06,3.02,3.16,3.01,2.42,3.23,,,,,,
195807,0.99,6.96,7.37,6.32,5.65,2.22,2.69,5.76,5.09,7.36,2.66,5.6,6.93,7.22,10.13,3.64,3.99,5.51,5.67,9.34,5.13,1.79,5.44,5.59,7.83,,,,,,
195808,3.65,0.17,3.22,3.08,4.57,4,3.25,1.97,2.32,4.73,4.19,3.42,3.33,4.15,1.87,3.4,1.89,3.72,2.16,3.89,1.76,0.98,2.57,1.42,2.07,,,,,,
195809,3,8.2,5.13,3.7,7.38,1.97,4.19,4.28,7.43,9.13,3.85,2.31,3.85,6.03,9.56,3.92,3.78,5.04,6.13,11.7,4.8,4.99,4.03,4.11,8.62,,,,,,
195810,7.94,10.23,2.07,1.4,2.77,10.52,5.18,1.84,4.29,4.74,1.03,4.9,3.02,3.88,5.17,3.02,3.48,2.65,2.35,4.61,2.46,2.51,3.84,2.4,3.54,,,,,,
195811,12.39,11.33,9.11,4.06,3.25,5.07,7.27,4.88,4.08,5.42,6.26,1.72,2.84,3.8,3.02,5.2,3.89,5.56,5.01,5.05,3.24,2.53,0.95,2.66,3.25,,,,,,
195812,5.08,-0.42,2.97,4.18,3.5,5.84,6.25,2.62,4.19,3.52,0.77,3.15,2.27,3.73,4.27,3.5,5.06,5.24,4.24,2,5.21,7.34,5.89,2.68,4.83,,,,,,
195901,8.7,0.51,14.94,6,7.29,4,3.2,3.41,6.98,5.36,3.41,1.88,5.04,4.98,4.04,0.21,2.08,2.93,5.6,2.21,-1.02,1.64,2.39,2.39,5.37,,,,,,
195902,2.3,4.25,2.6,4.83,2.73,5.69,1.83,3.89,2.35,3.22,2.09,4.21,4.13,6.04,-0.75,3.64,2.75,3.27,2.45,1.22,0.89,0.41,-1.17,1.02,2.13,,,,,,
195903,1.66,-4.12,0.05,1.7,3.31,2.77,1.53,2.11,1.8,3.16,0.76,2.47,1.78,-1.26,0.76,0.66,-0.33,3.52,1.17,-1.13,0.55,1.08,-2.77,1.75,-0.34,,,,,,
195904,-1.25,5.24,-1.05,1.99,3.85,3.83,6.17,3.11,2.68,1.63,2.25,4.73,2.81,5.52,2.71,4.09,2.68,3.39,4.46,3.94,5.84,1.78,1.49,2.92,3.34,,,,,,
195905,-0.49,1.45,3.23,2.18,1.83,-0.8,-0.54,0.24,-2.23,1.35,0.01,0.15,-0.53,2.58,4.02,-0.33,1.38,2.81,1.73,1.41,3.34,0.08,2.79,0.84,4.71,,,,,,
195906,-1.86,0.69,-0.91,1.12,1.05,0.05,1.73,0.33,0.77,0.43,2.19,0.94,0.85,0.5,4.3,1.48,1.14,1.95,0.2,2.18,-0.45,-1.28,2.53,-0.2,2.62,,,,,,
195907,2.59,-0.95,4.25,1.46,3.44,4.99,2.52,2.85,3.5,4.75,2.66,1.84,4.29,4.17,3.76,2.37,2.16,2.02,3.49,3.11,4.25,3.6,1.83,3.25,0.79,,,,,,
195908,1.07,6.13,-1.41,-0.45,-1.5,-2.93,-1.53,-0.29,-2.91,-1.35,-1.1,0.73,-0.39,-1.53,-2.6,-2.45,-0.68,-2.89,-2.69,-1.66,-1.38,-1.39,0.25,-2.82,2.58,,,,,,
195909,-10.31,-2.64,-5.32,-1.5,-6.02,-4.82,-4.35,-2.79,-5.5,-4.05,-4.52,-2.86,-5.38,-5.48,-2.49,-6.01,-4.62,-4.66,-3.82,-3.86,-4.64,-4.87,-2.47,-6.37,-5.62,,,,,,
195910,2.62,7.88,0.63,1.8,0.89,3.53,3.51,2.36,2.33,1.97,4.02,5.3,2.24,2.48,-1.15,3.74,3.49,2.31,3.01,-0.49,1.11,1.59,1.48,-0.16,-0.75,,,,,,
195911,-2.36,1.76,-1.02,1.95,0.35,6.1,-1.99,1.69,2.8,1.7,3.09,0.9,0.42,2.99,-1.11,3.69,2.63,3.24,-0.71,0.91,4.2,-0.63,-0.76,-1.92,0,,,,,,
195912,7.36,5.24,2.06,2.91,2.27,0.84,4.73,1.61,4.3,1.04,3.26,0.95,2.37,2.09,2.09,0.68,1.43,0.19,3.23,2.17,3.25,2.97,2.86,3.96,6.27,,,,,,
196001,-5.87,-5.96,-1.05,-1.58,-0.58,-4.84,-5.22,-2.3,-3.83,-4.19,-6.39,-4.22,-5.77,-4.07,-4.81,-5.79,-4.28,-6,-7.44,-2.61,-9.16,-6.88,-1.78,-5.62,-7.54,,,,,,
196002,-3.4,4.46,-0.76,-1.08,1.33,1.73,1.57,1.87,2.73,0.52,1.75,0.28,0.07,1.31,-0.88,2.06,1.64,2.09,0.74,1.62,2.26,-1.5,4.95,-2.86,-3.95,,,,,,
196003,-2.87,-5.16,-3.57,-1.21,-2.79,-3.59,-2.32,-3.31,-2.33,-4.52,-1.83,-0.3,-2.52,-3.81,-6.61,-0.27,-0.51,-4.26,-3.72,-6.79,-0.4,-1.8,-0.66,-3.16,-7.16,,,,,,
196004,-6.56,1.52,-2.43,-2.83,-2.28,1.86,-3.91,-1.26,-2.01,-2.99,0.25,-1.53,-2.7,-2.6,-5.15,-0.36,-0.2,-2.17,-2.79,-2.35,-1.01,-2.93,-1.52,-2.07,-3.73,,,,,,
196005,-3.72,-1.52,-1.5,1.99,1.65,2.16,6.66,1.47,2.69,5.97,6.84,1.68,3.63,2.91,-0.31,3.85,1.9,0.21,2.81,0.5,5.32,1.87,1.67,-2.51,-0.93,,,,,,
196006,2.02,-3.19,5.84,3.37,1.9,3.29,2.9,1.88,2.42,0,4.59,1.16,2.49,3.47,1.27,2.38,2.54,2.69,1.4,2.89,2.33,2.88,1.24,3.51,2.69,,,,,,
196007,-5.37,-3.94,0.89,-1.06,-1.54,-3.2,-1.78,-2.2,-2.31,-2.09,-3.13,-0.78,-1.72,-1.37,-2.34,-3.49,-0.68,-0.7,0.94,-6.12,-4.07,-1.44,0.36,-1.14,-0.08,,,,,,
196008,21.8,9.2,1.99,4.75,4.17,0.13,1.67,4.19,4.89,4.34,4.7,6.19,3.32,4.02,1.15,1.64,3.68,4.15,3.93,1.16,2.71,2.52,5.08,4.05,2.51,,,,,,
196009,-15.67,-7.39,-3.08,-4.7,-7.28,-7.37,-5.75,-6.76,-5.4,-8.11,-7.78,-5.14,-4.71,-6.19,-5.5,-5.93,-4.72,-4.95,-5.11,-9.24,-7.15,-4.47,-4.7,-5.39,-3.75,,,,,,
196010,-9.25,-3.46,-2.91,-1.27,-2.87,-7.03,-2.72,-2.37,-3.77,-1.22,-3.21,-2.57,-2.57,-2.57,-4.05,-2.04,-1.93,-1.21,1.12,-4.03,-0.97,0.48,0.84,-0.05,2.22,,,,,,
196011,-2.23,-0.07,-1.09,2.48,2,6.57,7.94,5.15,4.1,1.68,7.31,5.3,6.28,6.02,4.75,8.66,4.52,5,4.26,4.01,5.24,4.07,3.97,4.35,4.57,,,,,,
196012,6.94,3.37,3,3.15,0.88,4.55,2.59,3.26,3.87,2.74,2.64,4.29,4.09,3.45,1.84,5.76,4.74,5.56,3.73,2.67,3.36,5.04,9.22,3.46,3.35,,,,,,
196101,11.48,9.13,7.93,8.64,8.4,10.39,5.98,6.64,9.94,10.02,5.96,6.5,8.34,9.96,14.06,6.87,7.82,7.36,9.32,13.01,4.12,7.75,7.2,7.84,9.92,,,,,,
196102,6.62,7.95,5.89,6.15,6.63,8.41,9.04,5.53,8.92,7.89,7.12,6.22,5.54,5.65,4.96,6.07,6.05,5.26,4.05,4.24,3.67,3.23,1.7,3.89,2.32,,,,,,
196103,11.36,4.73,7.15,6.07,7.48,10.89,8.36,4.36,5.92,5.85,6.65,4.12,3.28,5.06,5.17,5.99,2.71,5.07,5.26,3.56,2,2.59,4.26,-0.39,1.55,,,,,,
196104,0.04,3.3,2.1,2.67,-0.27,2.23,0.93,0.76,2.72,5.24,-0.72,1.25,-2.13,0.54,1.53,-0.72,0.92,1.32,-0.13,-5.75,-0.63,0.4,2.02,0.58,4.97,,,,,,
196105,-0.86,4.37,1.32,3.82,5.56,1.51,0.58,7.05,3.47,5.5,3.69,4.42,3.91,6.82,2.89,3.53,3.72,3.03,4.73,6.93,3.04,2.83,0.21,2.64,1.44,,,,,,
196106,-5.77,-5.55,-4.03,-5.85,-6.16,-7.15,-3.08,-4,-5.24,-5.21,-5.2,-5.1,-3.02,-5.37,-4.63,-4.7,-3.49,-3.06,-0.7,-3.28,-1.4,-4.28,-2.77,-4.41,-2.99,,,,,,
196107,1.69,0,-2.01,2.05,-0.67,0.19,-1.35,0.36,1.31,1.54,-0.34,1.06,1.94,1.33,1.66,0.66,3.2,2.84,1.1,-0.08,1.83,5.17,4.15,1.12,2.75,,,,,,
196108,3.65,1.03,-0.55,-0.85,2.02,3.31,0.4,0.63,1.63,1.63,-0.21,1.63,0.14,1.91,0.42,4.92,4.29,3.98,0.64,2.85,4.16,2.04,0.6,1.48,3.98,,,,,,
196109,-5.53,-6.04,-3,-2.65,-3.94,-4.86,-5.07,-3.36,-3.81,-1.31,-3.76,0.31,-2.89,-2.69,-4.74,-2.07,-2.01,-2.77,-3.94,-3.72,-0.66,-1.95,-3.6,-4.88,-0.3,,,,,,
196110,1.74,6.68,3.07,2.02,1.3,-1.86,2.39,2.99,1.2,0.55,2.24,3.82,2.27,2.55,-1.27,2.88,3.26,4.3,-1.64,2.52,3.37,1.4,4.05,5.98,0.66,,,,,,
196111,6.57,5.12,7.04,6.22,4.66,3.67,8.56,5.08,5.73,5.94,8.37,5.06,3.77,4.59,1.85,4.82,2.36,4.53,3.86,3.7,3.37,6.88,3.99,3.27,3.99,,,,,,
196112,-3.67,4.12,-1.3,1.1,0.42,-4.45,-0.14,-0.18,2.17,-1.52,-1.5,-2.54,0.41,1.48,1.44,-3.71,-1.78,0.09,1.52,-1.25,-1.32,0.95,2.58,2.77,0.03,,,,,,
196201,6.29,-3.52,2.13,1.63,3,-3.82,-0.83,-0.55,0.11,3.53,-4.75,-2.31,-1.92,-2.51,1.87,-5.3,-2.21,-2.74,1.79,3.63,-5.95,-3.81,-1.08,-0.24,-0.12,,,,,,
196202,0.32,-1.18,2.41,1.55,2,1.4,1.4,-0.24,2.27,1.8,3.14,-0.05,0.86,1.64,1.56,1.38,1.29,2.86,0.79,0.97,1.63,2.16,2.96,3.14,1.83,,,,,,
196203,-1.69,1.68,1.76,0.95,0.11,0.01,0.5,-0.68,-1.48,-1.22,0.27,0.47,-0.5,-1.88,-0.87,-1.51,-0.71,-0.76,-0.37,-2.45,0.26,-0.82,-0.44,-1.15,-3.37,,,,,,
196204,-8.35,-7.92,-7,-8,-6.78,-7.63,-7.02,-8.41,-6.67,-6.49,-5.65,-3.9,-7.17,-6.66,-6.22,-6.78,-6.09,-6.9,-7.83,-5.58,-7.95,-5.04,-5.46,-5.67,-5.47,,,,,,
196205,-10.91,-11.06,-11.33,-7.48,-11.09,-12.13,-11.36,-9.05,-9.29,-11.03,-13.2,-9.83,-11.14,-10.7,-8.79,-13.16,-9.34,-8.01,-5.05,-7.22,-10.17,-7.23,-5.11,-5.68,-5.92,,,,,,
196206,-1.13,-6.83,-7.74,-7.34,-7.37,-12.51,-9.14,-7.13,-5.56,-7.37,-8.53,-7.54,-9.21,-6.11,-7.02,-10.52,-9.54,-6.55,-8.64,-7.57,-10.59,-7.12,-6.22,-5.44,-6.85,,,,,,
196207,9.63,9.42,8.62,5.63,7.57,6.83,6.44,7.27,5.26,8.22,9.98,3.74,4.23,3.89,6.96,7.79,5.93,4.83,4.74,4.07,8.59,6.65,4.74,1.88,3.12,,,,,,
196208,9.56,2.52,4.16,0.83,2.75,7.69,1.73,5.11,2.24,2.34,2.99,3.67,3.5,2.08,1.23,3.1,3.2,1.43,2.67,1.63,2.82,2.23,1.1,1.27,3.13,,,,,,
196209,-8.59,-8.69,-9.46,-5.3,-6.32,-8.22,-5.34,-7.81,-6.44,-7.98,-9.38,-6.02,-4.4,-6.59,-5.29,-5.73,-4.33,-4.52,-6.48,-5.64,-5.3,-4.47,-4.08,-4.46,-4.12,,,,,,
196210,-10.37,-7.39,-3.87,-5.12,-2.49,-4.79,-5.27,-4.14,-1.02,-0.9,-4.55,-1.46,-0.09,-1.55,-1.29,-3.27,-0.33,-0.46,-1.79,0.47,1.27,0.85,0.53,0.57,0.74,,,,,,
196211,14.66,16.74,12.16,15.05,13.84,14.97,15.98,11.4,14.32,15.96,16.06,11.75,11.68,14.23,13.31,14.51,11.57,11.98,11.68,17.48,11.07,9.04,11.14,11.32,14.9,,,,,,
196212,-3.32,-4.84,-0.43,-2.31,-2.29,-2.91,-0.75,-0.79,-2.63,-3.82,-3.16,1.17,-0.9,-1.94,-1.33,-0.1,1.21,1.43,-0.78,1.86,1.41,2.53,2.34,0.03,0.24,,,,,,
196301,13.02,11.44,9.4,10.96,11.12,7.63,5.81,7.95,8.52,11.12,6.37,5.71,4.75,8.74,9.33,5.4,4.89,5.86,9.71,6.31,5.27,4.07,3.46,6.42,6.53,,,,,,
196302,-3.25,-3.49,-0.71,-0.83,2.74,-4.02,-1.89,-2.62,-1.51,-0.41,-3.76,-1.34,-0.57,-2.24,0.89,-3.07,-1.33,-0.94,-0.92,-0.59,-3.28,-1.59,-2.05,-1.23,-1.17,,,,,,
196303,4.98,-1.47,-0.11,1.22,2.59,-0.16,1.18,1.48,2.89,1.46,-0.05,1.4,1.37,3.54,1.73,2.03,1.72,2.77,3.48,3.72,3.73,2.82,4.57,4.84,5.64,,,,,,
196304,4.8,1.5,2.05,3.54,2.77,2.33,5.32,0.6,4.49,5.83,3.56,4.15,3.02,3.13,5.11,4.29,3.33,4.94,7.25,4.44,4.95,4.04,5.98,4.11,8.17,,,,,,
196305,3.39,1.68,2.75,4.13,7.87,2.09,2.73,1.05,5.07,4.83,2.35,2.13,2.44,5.22,6.04,1.57,1.57,1.85,4.18,3.69,3.18,-0.33,1.82,2.28,4.47,,,,,,
196306,3.77,-1.17,-1.33,-2.48,-1.09,-0.03,-1.74,-1.9,-1.95,-1.69,-1.3,-0.65,-2.42,-2.78,-1.05,-1.46,-1.38,-2.52,-2.93,1.26,-3.22,-0.94,-0.74,-2.03,0.55,,,,,,
196307,1.04,0.15,0.62,0.11,-1.32,-1.87,0.29,-0.84,-1.9,-1.19,-1.84,-1.87,-0.88,-2.21,-1.8,-0.81,-1.48,-2.28,-1.67,-1.86,0.15,0.35,1.17,-0.45,-1.11,,,,,,
196308,3.72,2.13,1.3,2.39,4.67,5.4,4.65,4.36,4.33,8.23,5.36,4.62,5.57,4.72,5.15,5.59,4.82,6.17,7.56,5.35,5.78,4.34,4.66,8.16,6.25,,,,,,
196309,-2.76,0.26,-1.08,-1.6,-0.47,-3.92,-1.57,-0.64,-1.13,-2.91,-4.65,-1.52,-0.57,-0.1,-1.82,-2.59,-1.95,-2,-3.58,-1.99,-1.39,-0.75,-0.98,-0.12,-3.82,,,,,,
196310,1.09,-0.59,1.23,0.1,2.27,1.19,4.3,2.34,2.26,3.93,2.26,0.5,2.6,2.16,1.07,-0.26,0.88,2.32,5.34,0.61,5.33,1.73,-0.23,2.36,0.48,,,,,,
196311,-2.5,-4.33,-1.6,-1.03,-1.1,-4.18,-1.76,-0.71,-0.09,-0.11,-2.92,-1.58,-0.94,-0.9,-1.21,-0.98,-0.98,-0.3,1.15,3.54,-1.27,0.98,-1.56,-2.05,1.37,,,,,,
196312,-2.94,-0.59,-0.86,-1.65,-1,-0.68,-0.91,1.15,0.97,0.12,0.6,1.17,1.5,1.52,0.47,-0.16,1.43,1.48,3.14,6.15,2.6,2.3,2.27,2.38,2.37,,,,,,
196401,4.11,3.17,4.11,4.14,5.08,-1.8,-0.64,3.67,1.49,4.23,0.5,0.57,2.59,4.03,3.22,-0.36,1.73,1.41,3.62,3.34,3.11,3.17,1.85,2.11,1.42,,,,,,
196402,2.48,2.72,2.19,0.3,4.5,1.62,1.73,2.51,2.01,6.1,0.31,2.61,1.8,3.58,4.01,2.71,1.24,3.31,7.45,4.61,1.82,0.52,1.02,3.87,3.96,,,,,,
196403,0.58,1.16,2.34,3.55,2.68,2.32,3.24,3.54,5.69,6.15,-0.63,2.61,4.52,5.55,6.75,1.87,2.6,5.72,6.95,0.72,1.18,0.71,3.93,4.01,-0.39,,,,,,
196404,-1.78,2.53,-0.38,-0.89,-0.97,-0.76,-4.07,0.61,-1.49,-0.66,-2.01,-1.15,0.35,-0.85,-1.02,-2.7,0.76,1.54,-2.06,-2.28,0.25,1.55,0.64,-1,2.81,,,,,,
196405,-1.65,-0.89,0.27,0.34,1.58,3.13,0.36,2.96,1.82,3.74,-0.49,1.63,-0.29,1.94,2.5,1.18,2.33,1.27,2.61,4.1,2.07,0.34,1.25,4.22,3.45,,,,,,
196406,2.26,0.31,1.5,0.8,1.27,0.88,1.68,1.6,1.15,2.21,0.86,2.2,2.22,2.48,1.24,1.16,1.4,1.17,2.88,3.11,0.93,2.89,0.4,1.37,2.46,,,,,,
