Date,Div_growth,DEF = LT Corp. - LT govt.,TERM = ST govt.-LT govt.
195604,0.000944,-0.000212,-0.013117
195605,0.005568,-0.016958,0.020192
195606,0.002704,-0.004511,0.000738
195607,0.001295,0.011806,-0.022968
195608,0.005159,-0.002191,-0.020277
195609,0.002452,-0.003737,0.003112
195610,0.001754,-0.005088,-0.007897
195611,0.006932,-0.0069,-0.007769
195612,0.003404,0.009836,-0.020187
195701,0.001404,-0.014378,0.031824
195702,0.005515,0.006781,0.000113
195703,0.003158,0.007418,-0.0047
195704,0.001392,0.015902,-0.024606
195705,0.005521,-0.005232,-0.004824
195706,0.002753,-0.01442,-0.020401
195707,0.001573,-0.006938,-0.007024
195708,0.005195,-0.001075,-0.002339
195709,0.002796,0.001882,0.005023
195710,0.001796,0.007357,-0.007894
195711,0.007103,-0.021063,0.050379
195712,0.003813,0.036713,0.028203
195801,0.001355,0.018496,-0.011176
195802,0.006115,-0.010738,0.008828
195803,0.00343,-0.014662,0.009259
195804,0.001547,-0.002293,0.01781
195805,0.005417,0.003014,-0.001006
195806,0.003221,0.012368,-0.016262
195807,0.001565,0.012868,-0.028461
195808,0.004736,0.012076,-0.043978
195809,0.002928,0.002125,-0.013578
195810,0.001442,-0.003107,0.011988
195811,0.005183,-0.001519,0.010936
195812,0.0028,0.012485,-0.020254
195901,0.000996,0.005272,-0.01006
195902,0.004422,0.00085,0.009839
195903,0.00255,-0.009947,-0.000512
195904,0.00102,-0.005585,-0.013644
195905,0.004246,-0.010856,-0.002733
195906,0.002536,0.003347,-0.001398
195907,0.001033,0.00289,0.003461
195908,0.004072,-0.002691,-0.00597
195909,0.002421,-0.003168,-0.008708
195910,0.001131,0.001441,0.011986
195911,0.005298,0.025675,-0.014387
195912,0.002768,0.006392,-0.019177
196001,0.000945,-0.000478,0.007839
196002,0.004711,-0.007436,0.017475
196003,0.002662,-0.008856,0.024651
196004,0.001057,0.015035,-0.018887
196005,0.004826,-0.017016,0.012403
196006,0.002695,-0.003102,0.014834
196007,0.000929,-0.010663,0.035378
196008,0.005145,0.018555,-0.008373
196009,0.002184,-0.013721,0.005937
196010,0.001215,0.00362,-0.004955
196011,0.005965,-0.000403,-0.007909
196012,0.002304,-0.017026,0.026307
196101,0.001164,0.025776,-0.01255
196102,0.004167,0.000975,0.018546
196103,0.002261,0.000853,-0.005776
196104,0.00076,-0.022849,0.009749
196105,0.004272,0.009534,-0.006359
196106,0.00207,-0.000534,-0.009459
196107,0.000748,0.000536,0.001635
196108,0.004978,0.001977,-0.005177
196109,0.001274,0.001467,0.011218
196110,0.001238,0.00555,0.005243
196111,0.005567,0.00483,-0.00356
196112,0.001319,0.009974,-0.014287
196201,0.00134,0.009423,-0.003812
196202,0.004257,-0.005049,0.008268
196203,0.001424,-0.009977,0.023245
196204,0.000776,0.005949,0.005941
196205,0.005139,-0.004554,0.002169
196206,0.00172,0.004988,-0.009489
196207,0.001308,0.009493,-0.013516
196208,0.005529,-0.00433,0.016329
196209,0.001628,0.002802,0.004009
196210,0.001757,-0.001563,0.005811
196211,0.007213,0.004076,0.000118
196212,0.001809,-0.00119,0.00118
196301,0.001373,0.006001,-0.002598
196302,0.004677,0.001546,-0.001516
196303,0.001684,0.001734,-0.001423
196304,0.001004,-0.003925,-0.003707
